# Project Euler Completion Times #
 #    - Phil Bozak              #
 #     -all done in Python      #

 Problem #  |  Average Time to Complete (ms)
------------+--------------------------------
  1         |      0
  2         |      0
  3         |      0
  4         |    328
  5         |      0
  6         |      2
  7         |    293
  8         |     15
  9         |    300
 10         |  33373
 11         |      6
 12         |  52042
 13         |     24
 14         |   3963
 15         |      6
 16         |      3
 17         |      1
 18         |      2
 19         |      1
 20         |      2
 21         |    682
 22         |     98
 23         |  16401
 24         |   1581
 25         |    245
 26         |   1468
 27         |  47160
 28         |      1
 29         |   3694
 30         |   4383
 31         |     16
 32         |    202
 33         |     33
 34         |  23899
 35         |  15158
 36         |    971
 37         |   7082
 38         |      5
 39         |     52
 40         |    211
 41         |   3714
 42         |     66
 43         |  17410
 44         |   6186
 45         |     88
 46         |    243
 47         |   2675
 48         |      5
 49         |    222
 50         |    488
 51         |  18550
 52         |    462
 53         |      6
 54         |     29
 55         |    171
 56         |    137
 57         |    307
 58         |   2511
 59         |  17012
 63         |      1
 65         |      1
 67         |     19
 71         |   1154
 79         |      0 (pencil and paper)
 92         |  38378
 97         |   4025
 99         |     62
